 state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
AZ,AZ,4,85920,1,1,1,2,N, ,2,1,30,1100,1100,112987,120287,0.3,0,136.060971,0,0,1,APACHE              
AZ,AZ,4,85920,1,0,9,0, , ,1,1,117,600,700,70788,71188,0.6,33.3,128.784975,0,0,1,APACHE              
AZ,AZ,4,85924,1,1,1,3,N, ,4,1,122,1145,1145,70788,70788,0.5,0,150.245112,0,0,1,APACHE              
AZ,AZ,4,85925,1,1,1,3,N, ,2,1,3,1900,1900,52088,52288,0.6,97.2,136.060971,0,0,1,APACHE              
AZ,AZ,4,85932,1,1,1,1,N, ,2,1,118,800,900,70788,70788,0.3,0,136.060971,0,0,1,APACHE              
AZ,AZ,4,85936,1,1,1,1,N, ,5,1,29,935,930,121287,121487,1.2,22.7,120.341352,0,0,1,APACHE              
AZ,AZ,4,85936,1,0,9,0, , ,1,1,42,1400,1400,10188,10188,5,8.5,128.784975,0,0,1,APACHE              
AZ,AZ,4,85936,1,1,1,1,N, ,2,1,8,2045,2055,50588,50588,3.5,9.2,136.060971,0,0,1,APACHE              
AZ,AZ,4,85938,1,0,9,0, , ,2,1,47,930,940,11888,12088,1.2,14.9,136.060971,0,0,1,APACHE              
AZ,AZ,4,85938,1,1,1,3, , ,5,1,52,1630,1830,20288,20288,0.6,40.8,120.341352,0,0,1,APACHE              
AZ,AZ,4,85938,1,1,1,1,N, ,3,1,59,600,600,22888,30388,1.3,15.8,147.43077,0,0,1,APACHE              
AZ,AZ,4,85938,1,1,1,2, , ,4,1,59,830,1045,30388,31088,0.4,0,150.245112,1,0,1,APACHE              
AZ,AZ,4,85938,1,1,0,2,Y, ,4,1,58,1930,1930,30388,30388,4.9,9.9,150.245112,0,0,1,APACHE              
AZ,AZ,4,85938,1,1,1,1,N, ,3,1,63,2015,2020,32188,32388,0.6,45.7,147.43077,0,0,1,APACHE              
AZ,AZ,4,86512,1,5,1,5,N, ,2,1,123,615,1600,70788,70788,0.3,0,136.060971,0,0,1,APACHE              
AZ,AZ,4,85602,3,1,1,1,N, ,4,2,24,1700,1700,112087,112287,1.1,26.9,364.80402,0,0,3,COCHISE             
AZ,AZ,4,85602,3,0,1,1,N, ,3,2,4,1830,1830,42788,50588,0.7,23.8,378.243829,0,0,3,COCHISE             
AZ,AZ,4,85602,3,0,9,0, , ,2,2,9,1922,2003,50588,50588,1,31.4,363.432059,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,1,7,N, ,2,2,29,905,907,112887,113087,0.6,28.3,363.432059,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,1,1,N, ,3,2,35,800,800,122987,123187,2.1,13.4,378.243829,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,0,1,Y, ,4,2,54,1300,1500,22888,30388,0.5,0,364.80402,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,1,1,N, ,5,2,59,700,700,30388,30388,0.4,0,364.958323,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,1,1,N, ,3,2,81,830,830,51988,52188,0.6,34.6,378.243829,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,1,7,Y, ,2,2,103,1645,1715,62188,62388,0.3,0,363.432059,0,0,3,COCHISE             
AZ,AZ,4,85603,3,1,1,3,N, ,4,2,9,800,840,51288,51488,0.4,0,364.80402,0,0,3,COCHISE             
AZ,AZ,4,85606,3,0,9,0,N, ,3,2,94,817,817,61188,61388,0.5,0,378.243829,0,0,3,COCHISE             
AZ,AZ,4,85607,3,0,9,0, , ,4,2,45,1330,1330,12988,13188,1.9,22.8,364.80402,0,0,3,COCHISE             
AZ,AZ,4,85607,3,1,1,3,N, ,1,2,46,900,900,11688,11888,3.2,15.3,359.164059,0,0,3,COCHISE             
AZ,AZ,4,85607,3,1,1,3,N, ,4,2,64,1100,1100,31488,31688,0.8,43.7,364.80402,0,0,3,COCHISE             
AZ,AZ,4,85607,3,1,1,3,N, ,5,2,76,1040,1040,41588,41788,0.5,43.6,364.958323,0,0,3,COCHISE             
AZ,AZ,4,85607,3,0,9,0, , ,1,2,84,1534,1535,52188,52388,0.5,0,359.164059,0,0,3,COCHISE             
AZ,AZ,4,85608,3,1,1,1,N, ,3,2,50,1328,1245,12888,13088,1.9,11.6,378.243829,0,0,3,COCHISE             
AZ,AZ,4,85617,3,1,1,3,N, ,4,2,71,1100,1100,33088,40488,2.2,10.5,364.80402,0,0,3,COCHISE             
